"obs_decile","mean_residual","median_residual","sd_residual","n"
"1",-1.4777998949292,-1.3465543178596,1.83631599598586,1585
"2",-0.755918852514703,-0.7291407995924,1.5380986142076,1565
"3",-0.577984777536858,-0.551837817413031,1.58281393563779,1585
"4",-0.378335795925889,-0.332412515639433,1.56665267854768,1577
"5",-0.200452624357966,-0.185152171903333,1.78812137985458,1574
"6",-0.0497874904180478,-0.0863587930316712,1.86560889799724,1564
"7",0.177745071454255,0.0927550451343677,1.87153593591035,1585
"8",0.500591703463974,0.346327648864687,1.70295924625899,1574
"9",0.931991678776115,0.80404154718984,1.69896651339203,1566
"10",1.83250067424402,1.69560598214981,1.77063784366001,1575
