"lambda","loglik"
-2,-13337.5220825947
-1.9,-13333.7931130294
-1.8,-13330.5853415586
-1.7,-13327.8997548229
-1.6,-13325.7373061006
-1.5,-13324.0989149701
-1.4,-13322.985466984
-1.3,-13322.3978133553
-1.2,-13322.3367706551
-1.1,-13322.8031205233
-1,-13323.7976093911
-0.9,-13325.3209482173
-0.8,-13327.3738122364
-0.7,-13329.9568407209
-0.6,-13333.0706367564
-0.5,-13336.7157670303
-0.4,-13340.8927616349
-0.3,-13345.6021138835
-0.2,-13350.8442801414
-0.0999999999999999,-13356.6196796704
0,-13362.928694488
0.1,-13369.7716692413
0.2,-13377.1489110953
0.3,-13385.0606896352
0.4,-13393.5072367848
0.5,-13402.4887467384
0.6,-13412.0053759083
0.7,-13422.0572428875
0.8,-13432.6444284263
0.9,-13443.7669754249
1,-13455.4248889407
1.1,-13467.6181362103
1.2,-13480.3466466868
1.3,-13493.6103120921
1.4,-13507.4089864838
1.5,-13521.7424863372
1.6,-13536.6105906419
1.7,-13552.0130410134
1.8,-13567.9495418191
1.9,-13584.4197603191
2,-13601.4233268206
