"method","K","fold","R2"
"PCR",5,1,0.750085458555342
"PLS",5,1,0.799015463678882
"PCR",10,1,0.771669106545757
"PLS",10,1,0.807191112992558
"PCR",15,1,0.774219057591326
"PLS",15,1,0.813904481320846
"PCR",20,1,0.777030750482043
"PLS",20,1,0.817154883095721
"PCR",25,1,0.780474522283366
"PLS",25,1,0.818333275643844
"PCR",30,1,0.785328601187111
"PLS",30,1,0.818823033320897
"PCR",50,1,0.786784791698958
"PLS",50,1,0.822423570431733
"PCR",75,1,0.788598065489542
"PLS",75,1,0.823090506656039
"PCR",100,1,0.793197228936835
"PLS",100,1,0.822448257813897
"PCR",5,2,0.73969793792535
"PLS",5,2,0.793304975313843
"PCR",10,2,0.758067997608369
"PLS",10,2,0.807382226723295
"PCR",15,2,0.761526411372931
"PLS",15,2,0.815032854812714
"PCR",20,2,0.766223998184843
"PLS",20,2,0.81597273255253
"PCR",25,2,0.770176596222153
"PLS",25,2,0.817800252670141
"PCR",30,2,0.77279073005273
"PLS",30,2,0.819949683622638
"PCR",50,2,0.776493880346984
"PLS",50,2,0.819369600756588
"PCR",75,2,0.776218926248592
"PLS",75,2,0.819842749908929
"PCR",100,2,0.785542857907544
"PLS",100,2,0.819487773039496
"PCR",5,3,0.72473603487428
"PLS",5,3,0.782937271873144
"PCR",10,3,0.747002591119235
"PLS",10,3,0.797309618438463
"PCR",15,3,0.755389509638584
"PLS",15,3,0.802602604926419
"PCR",20,3,0.757244917469233
"PLS",20,3,0.80598369824596
"PCR",25,3,0.758023215479474
"PLS",25,3,0.808875970530064
"PCR",30,3,0.762622465901054
"PLS",30,3,0.809460304504567
"PCR",50,3,0.766747649403696
"PLS",50,3,0.809130355032041
"PCR",75,3,0.7680071091989
"PLS",75,3,0.80899616121171
"PCR",100,3,0.77318389546596
"PLS",100,3,0.808649178675056
"PCR",5,4,0.738983773110015
"PLS",5,4,0.797851921846373
"PCR",10,4,0.760626179029553
"PLS",10,4,0.814859268635688
"PCR",15,4,0.765943725042644
"PLS",15,4,0.820490271156678
"PCR",20,4,0.769593017003436
"PLS",20,4,0.824311079306986
"PCR",25,4,0.772568715159512
"PLS",25,4,0.827360706533348
"PCR",30,4,0.776315680575054
"PLS",30,4,0.827588347878403
"PCR",50,4,0.781288220917146
"PLS",50,4,0.829201792586992
"PCR",75,4,0.781779083737098
"PLS",75,4,0.830338293602225
"PCR",100,4,0.788346911066712
"PLS",100,4,0.830390906063288
"PCR",5,5,0.74070187902597
"PLS",5,5,0.807874895803179
"PCR",10,5,0.767199161363224
"PLS",10,5,0.824266822389836
"PCR",15,5,0.774123577910372
"PLS",15,5,0.831601783558728
"PCR",20,5,0.774909284809636
"PLS",20,5,0.836447445544379
"PCR",25,5,0.779387737004311
"PLS",25,5,0.838578519212033
"PCR",30,5,0.781741203311157
"PLS",30,5,0.840243243194689
"PCR",50,5,0.785225293552648
"PLS",50,5,0.840240940887059
"PCR",75,5,0.787539839687423
"PLS",75,5,0.841051796340584
"PCR",100,5,0.794941046584261
"PLS",100,5,0.840381932227889
