"method","K","R2_mean","R2_sd"
"PCR",5,0.738841016698191,0.00907752013103446
"PCR",10,0.760913007133227,0.00944570580760717
"PCR",15,0.766240456311172,0.00815253024146952
"PCR",20,0.769000393589838,0.00783665139011747
"PCR",25,0.772126157229763,0.00901825026745733
"PCR",30,0.775759736205421,0.00878995262361627
"PCR",50,0.779307967183886,0.00807031177366614
"PCR",75,0.780428604872311,0.00853153692800923
"PCR",100,0.787042387992263,0.00860637932922821
"PLS",5,0.796196905703084,0.00909999932631472
"PLS",10,0.810201809835968,0.0100341846212543
"PLS",15,0.816726399155077,0.0105564751422646
"PLS",20,0.819973967749115,0.0112901590941933
"PLS",25,0.822189744917886,0.0112553026702697
"PLS",30,0.823212922504239,0.0114916331183796
"PLS",50,0.824073251938883,0.011574023140124
"PLS",75,0.824663901543898,0.0119578319813442
"PLS",100,0.824271609563925,0.0119085928677408
